# Economics Career Paths by Industry Label (High-Level Overview)

| Industry Label | Typical Work Theme | Common Tools | Entry Route | Example Output |
|---|---|---|---|---|
| Banking | Credit and lending decisions | Excel, SQL | Analyst programs | Credit memos |
| Asset Management | Portfolio research | Bloomberg, Python | Internships | Investment notes |
| Government | Regulation and compliance | Stata, R | Civil service exams | Policy reports |
| Healthcare | Cost and outcomes analysis | R, SAS | Data roles | Cost-effectiveness studies |
| Energy | Commodity and demand modeling | Python, EViews | Graduate hires | Forecast models |
| Tech | Marketplace measurement | SQL, experiment design | Product analytics | KPI dashboards |
| Retail | Pricing and demand | Excel, SQL | Rotations | Price tests |
| Real Estate | Market trends | Excel, GIS | Analyst hiring | Market comps |
| Nonprofit | Program evaluation | R, survey tools | Fellowships | Impact assessments |
| Education | Institutional research | SQL, Tableau | Analyst roles | Enrollment forecasts |
| Logistics | Supply/demand planning | Excel, optimization | Operations tracks | Capacity plans |
