# Top Gear Test Track — The Stig's Lap Ranking by Driver Comments (No Times)

| Rank | Vehicle | Episode | Stig Comment Summary | Handling Score (1-10) | Braking Score (1-10) |
| --- | --- | --- | --- | --- | --- |
| 1 | Pagani Huayra | Series 19, Episode 1 | "Impossibly stable" | 10 | 9 |
| 2 | McLaren 675LT | Series 23, Episode 2 | "Explosive out of bends" | 9 | 9 |
| 3 | BAC Mono | Series 20, Episode 2 | "Feels like a racing kart" | 9 | 8 |
| 4 | Gumpert Apollo | Series 11, Episode 6 | "Massive grip, edgy" | 8 | 8 |
| 5 | Koenigsegg CCX (with wing) | Series 8, Episode 4 | "Less nervous than before" | 8 | 8 |
| 6 | Ascari A10 | Series 13, Episode 2 | "Clean and predictable" | 8 | 7 |
| 7 | Nissan GT-R (2012) | Series 17, Episode 4 | "Effective, not delicate" | 7 | 8 |
| 8 | Noble M600 | Series 14, Episode 5 | "Fast but needs respect" | 7 | 7 |
| 9 | Ariel Atom V8 500 (moist) | Series 16, Episode 1 | "Wild in the wet" | 6 | 6 |
| 10 | Bugatti Veyron Super Sport | Special | "Heavy but unstoppable" | 6 | 7 |
