# Prescription & Clinical Timing Abbreviations (Dosing, Frequency, Route)

| Category | Abbreviation | Expanded meaning (plain language) | Example in a note |
|---|---|---|---|
| Frequency | BID | Twice daily | "Take metformin BID" |
| Frequency | TID | Three times daily | "Amoxicillin TID x 7 days" |
| Frequency | QID | Four times daily | "Drops QID" |
| Frequency | q4h | Every 4 hours | "Albuterol q4h PRN" |
| Frequency | qhs | Every night at bedtime | "Atorvastatin qhs" |
| Timing | prn | As needed | "Ibuprofen prn pain" |
| Timing | stat | Immediately | "EKG stat" |
| Route | PO | By mouth (oral) | "Prednisone PO" |
| Route | IV | Intravenous (into a vein) | "Fluids IV" |
| Route | IM | Intramuscular (into a muscle) | "Vaccination IM" |
| Route | SQ (SC) | Subcutaneous (under the skin) | "Insulin SQ" |
| Duration | x5d | For 5 days | "Prednisone x5d" |
