# White Wine Varietal Chart by Body and Typical Flavor Notes

| White Wine Varietal | Typical Body (Light → Full) | Common Aromas / Flavor Notes |
|---|---|---|
| Muscadet (Melon de Bourgogne) | Light | Lemon, lime, green apple, sea spray, flinty minerality |
| Pinot Grigio / Pinot Gris | Light – Medium | Pear, lemon zest, white peach, almond, subtle spice |
| Albariño | Light – Medium | Citrus, peach, apricot, saline minerality, white flowers |
| Sauvignon Blanc | Light – Medium | Gooseberry, grapefruit, lime, cut grass, passion fruit |
| Chenin Blanc (dry) | Medium | Quince, apple, honeycomb, chamomile, wet stone |
| Viognier | Medium – Full | Apricot, peach, orange blossom, jasmine, ginger spice |
| Chardonnay (oaked) | Full | Baked apple, lemon curd, vanilla, butter, toast, baking spice |
| Gewürztraminer | Medium – Full | Lychee, rose petal, ginger, allspice, tropical fruit |
| Sémillon (still, dry) | Medium – Full | Wax, lemon, fig, lanolin, toast (with age) |
| Riesling (dry) | Light – Medium | Lime, green apple, white peach, slate minerality, floral notes |
