# West Francia and Early France  Kings, Dukes, and Counts (9th–10th centuries)

| Person | Rank/Office | Territory | Active years | Relation to royal power |
| --- | --- | --- | --- | --- |
| Charles the Bald | King | West Francia | 843–877 | Carolingian monarch |
| Hugh the Great | Duke | Francia | 936–956 | Powerful magnate, not king |
| Robert I | King | West Francia | 922–923 | Robertian monarch |
| Richard the Justiciar | Duke | Burgundy | 898–921 | Regional ruler, not king |
| Charles the Simple | King | West Francia | 898–922 | Carolingian monarch |
| Herbert II of Vermandois | Count | Vermandois | 902–943 | Count controlling key counties |
| Louis IV | King | West Francia | 936–954 | Carolingian monarch |
| Hugh Capet | King | France | 987–996 | Capetian monarch |
| Geoffrey I Grisegonelle | Count | Anjou | 960–987 | Count; ally/rival to kings |
