# Chicago Transit Authority
> CTA Radio Operations

| Channel | Frequency | Usage |
| --- | --- | --- |
| Ch. 1 | 472.93750 | CPD Transit Detail |
| Ch. 2 | 470.98750 | Rail Emergency |
| Ch. 3 | 470.53750 | Supervisors - North (includes buses) |
| Ch. 4 | 470.63750 | Supervisors - South (includes buses) |
| Ch. 5 | 471.03750 | Blue Line Operations (Forest Park & O'Hare) & Pink Line Operations (54th/Cermak & the Loop) |
| Ch. 6 | 471.06250 | Green Line Operations (Harlem/Lake, East/63rd & Ashland/63rd) & Orange Line Operations (Midway & the Loop) |
| Ch. 7 | 471.08750 | Brown Line Operations (Kimball & the Loop), Purple Line Operations (Linden, Howard & the Loop) & Yellow Line Operations (Skokie & Howard) |
| Ch. 8 | 471.11250 | Red Line Operations (Howard & 95th/Dan Ryan) |
| Ch. 9 | 44.54000 | Rail Operations |
