# Maharaja-Style Luxury Train Tours  Package Fares by Itinerary and Cabin Category

| Tour Itinerary (Name) | Nights | Cabin Category | Occupancy | Package Fare | Currency | Includes (Brief) |
| --- | ---: | --- | --- | ---: | --- | --- |
| Heritage of Rajasthan | 6 | Deluxe Cabin | Single | 7,150 | USD | Meals, guided sightseeing, onboard service |
| Heritage of Rajasthan | 6 | Deluxe Cabin | Double | 8,100 | USD | Meals, guided sightseeing, onboard service |
| Heritage of Rajasthan | 6 | Junior Suite | Double | 10,950 | USD | Larger cabin, priority excursions |
| Royal India Discovery | 7 | Deluxe Cabin | Single | 9,980 | USD | Meals, excursions, select entrance fees |
| Royal India Discovery | 7 | Deluxe Cabin | Double | 11,300 | USD | Meals, excursions, select entrance fees |
| Royal India Discovery | 7 | Suite | Double | 15,600 | USD | Butler service, upgraded cabin |
| Golden Triangle & Tigers | 5 | Deluxe Cabin | Double | 6,450 | USD | Includes wildlife safari excursion |
| Golden Triangle & Tigers | 5 | Junior Suite | Double | 8,900 | USD | Added space + enhanced onboard amenities |
| Indian Cultural Mosaic | 4 | Deluxe Cabin | Single | 5,250 | USD | Short itinerary, full-board dining |
| Indian Cultural Mosaic | 4 | Suite | Double | 9,750 | USD | Premium cabin + dedicated host |
