# Ontario (Canada) Public School Year Calendar 2023–2024  Terms and Major Breaks (Date Ranges)

| Period | Start Date | End Date | Category |
| --- | --- | --- | --- |
| Term 1 (Fall Instructional Period) | 05 Sep 2023 | 22 Dec 2023 | Term |
| Thanksgiving Break | 07 Oct 2023 | 09 Oct 2023 | Holiday |
| Winter Break | 23 Dec 2023 | 07 Jan 2024 | Holiday |
| Term 2 (Winter Instructional Period) | 08 Jan 2024 | 28 Mar 2024 | Term |
| March Break | 09 Mar 2024 | 17 Mar 2024 | Holiday |
| Spring Long Weekend | 29 Mar 2024 | 01 Apr 2024 | Holiday |
| Term 3 (Spring Instructional Period) | 02 Apr 2024 | 28 Jun 2024 | Term |
| Summer Break | 29 Jun 2024 | 02 Sep 2024 | Holiday |
| Professional Activity Day (Students Off) | 30 Aug 2024 | 30 Aug 2024 | Non-instructional day |
