# List of French monarchs
> Frankish Empire

| Portrait | Name | King from | King until | Death | Relationship with predecessor(s) | Title |
| --- | --- | --- | --- | --- | --- | --- |
|  | Pepin the Younger (Pépin le Bref ) | 751 | 24 September 768 |  | • Son of Charles Martel | King of the Franks (Roi des Francs) |
|  | Carloman I | 24 September 768 | 4 December 771 |  | • Son of Pepin | King of the Franks (Roi des Francs) |
|  | Charlemagne (Charles I, the Great ) | 24 September 768 | 28 January 814 |  | • Son of Pepin | King of the Franks (Roi des Francs) Emperor of the Romans (Imperator Romanorum) (800–814) |
|  | Louis I the Pious, the Debonaire (Louis Ier le Pieux, le Débonnaire ) | 28 January 814 | 20 June 840 |  | • Son of Charlemagne | King of the Franks (Roi des Francs) Emperor of the Romans (Imperator Romanorum) |
|  | Charles II the Bald (Charles II le Chauve ) | 20 June 840 | 6 October 877 |  | • Son of Louis I | King of the Franks (Roi des Francs) Emperor of the Romans (Imperator Romanorum) (875–877) |
|  | Louis II the Stammerer (Louis II le Bègue ) | 6 October 877 | 10 April 879 |  | • Son of Charles II | King of the Franks (Roi des Francs) |
|  | Louis III | 10 April 879 | 5 August 882 |  | • Son of Louis II | King of the Franks (Roi des Francs) |
|  | Carloman II | 5 August 882 | 6 December 884 |  | • Son of Louis II | King of the Franks (Roi des Francs) |
|  | Charles III the Fat (Charles le Gros ) | 20 May 885 | 13 January 888 |  | • Son of Louis the German • Cousin of Louis II and Carloman II • Grandson of Louis I the Pious | King of the Franks (Roi des Francs) Emperor of the Romans (Imperator Romanorum) (881–887) |
