# Plant-Forward Zinc Sources  Zinc per Typical Serving and % Daily Value

| Food (edible portion) | Typical serving size | Zinc (mg) per serving | %DV (based on 11 mg/day) | Notes |
| --- | --- | --- | --- | --- |
| Hemp seeds | 3 tbsp (30 g) | 3.0 | 27% | Sprinkle on salads/oats |
| Pumpkin seeds, roasted | 1 oz (28 g) | 2.2 | 20% | Convenient snack/topper |
| Cashews, dry roasted | 1 oz (28 g) | 1.6 | 15% | Nuts |
| Lentils, cooked | 1 cup | 2.5 | 23% | Legume-based meal |
| Chickpeas, cooked | 1 cup | 2.5 | 23% | Hummus/salads |
| Black beans, cooked | 1 cup | 1.9 | 17% | Legume |
| Oats, cooked | 1 cup | 2.3 | 21% | Breakfast staple |
| Quinoa, cooked | 1 cup | 1.8 | 16% | Whole grain |
| Tofu, firm | 1/2 cup | 1.0 | 9% | Soy food |
| Fortified breakfast cereal | 1 serving (label serving) | 3.8 | 35% | Check nutrition label |
