# Cost of Living in Japan — City Comparison Averages

| Expense Item | Tokyo (Avg) | Osaka (Avg) | Fukuoka (Avg) |
| --- | --- | --- | --- |
| Meal, Inexpensive Restaurant | ¥1,100 | ¥950 | ¥850 |
| Meal for 2 People, Mid-range Restaurant, Three-course | ¥6,500 | ¥5,800 | ¥5,200 |
| McMeal at McDonalds (or Equivalent Combo Meal) | ¥750 | ¥720 | ¥700 |
| Domestic Beer (0.5 liter draught) | ¥650 | ¥600 | ¥550 |
| Milk (regular), 1 liter | ¥240 | ¥220 | ¥210 |
| Eggs (12) | ¥320 | ¥300 | ¥280 |
| Rice (white), 1 kg | ¥520 | ¥500 | ¥480 |
| Monthly Pass (Local Transport) | ¥11,000 | ¥9,500 | ¥8,800 |
| Gasoline (1 liter) | ¥170 | ¥168 | ¥165 |
| Internet (60 Mbps or more, unlimited data) | ¥4,800 | ¥4,500 | ¥4,200 |
