# RuPaul's Drag Race franchise return appearances by queen (selected examples)

| Drag Name | Real Name | First Season (Original) | Returned In (Season/Series) | Return Type | Hometown |
| --- | --- | --- | --- | --- | --- |
| Shangela | D.J. Pierce | Season 2 | Season 3; All Stars 3 | Competitor return | Paris, TX |
| Cynthia Lee Fontaine | Carlos Díaz Hernández | Season 8 | Season 9 | Competitor return | Caguas, PR |
| Eureka O'Hara | David Huggard | Season 9 | Season 10; All Stars 6 | Competitor return | Johnson City, TN |
| Vanjie (Miss Vanjie) | José Cancel | Season 10 | Season 11 | Competitor return | Tampa, FL |
| Carmen Carrera | Carmen Carrera | Season 3 | All Stars 1 | Competitor return | Elmwood Park, NJ |
| Kylie Sonique Love | Douglas Hines | Season 2 | All Stars 6 | Competitor return | Atlanta, GA |
| Jessica Wild | Jessica Ortiz | Season 2 | All Stars 8 | Competitor return | San Juan, PR |
| Derrick Barry | Derrick Barry | Season 8 | All Stars 5 | Competitor return | Las Vegas, NV |
| Latrice Royale | Timothy Wilcots | Season 4 | All Stars 1; All Stars 4 | Competitor return | Compton, CA |
| Jujubee | Airline Inthyrath | Season 2 | All Stars 1; All Stars 5; UK vs The World 1 | Competitor return | Lowell, MA |
| Mo Heart | Monique Heart | Season 10 | All Stars 4; UK vs The World 1 | Competitor return | Kansas City, MO |
