# Lindt & Sprüngli Overview with LINDOR Highlights (Products and Company Facts)

| Section | Item | Detail | Example/Identifier | Relevance to LINDOR dark flavours |
|---|---|---|---|---|
| Company | Headquarters | Kilchberg, Switzerland | Public company info | Indirect |
| Company | Founded | 1845 | Historical milestone | Off-target |
| Brand | Core lines | LINDOR, Excellence, HELLO | Product families | Broad, not flavour-only |
| LINDOR | Dark variant | Extra Dark 60% | Black wrapper | Relevant |
| LINDOR | Dark variant | Dark Mint | Black with Green wrapper | Relevant |
| LINDOR | Non-dark variant | Milk Chocolate | Red wrapper | Not requested |
| LINDOR | Non-dark variant | White Chocolate | White wrapper | Not requested |
| Sales | Key markets | Europe / North America | Market footprint | Off-target |
| Sustainability | Cocoa sourcing | Programs & certifications | General policy notes | Off-target |
| Competitors | Peer brands | Ferrero, Godiva | Category comparison | Off-target |
