# Water Chemistry Metrics by Brand (Minerals and TDS Only; pH Missing)

| Brand | Water Type | TDS (mg/L) | Calcium (mg/L) | Magnesium (mg/L) | Sodium (mg/L) | Bicarbonate (mg/L) | Silica (mg/L) | Notes |
| --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Evian | Spring | 345 | 80 | 26 | 6.5 | 360 | 15 | Mineral-rich profile |
| Fiji | Artesian | 222 | 18 | 15 | 18 | 152 | 93 | Notable silica |
| Perrier | Sparkling mineral | 475 | 147 | 3.4 | 9.6 | 390 | 0 | Carbonated mineral |
| S. Pellegrino | Sparkling mineral | 915 | 160 | 52 | 33 | 244 | 0 | High TDS |
| VOSS | Artesian | 44 | 5 | 1 | 6 | 15 | 0 | Low mineral content |
| Poland Spring | Spring | 57 | 9 | 2 | 1 | 20 | 0 | Light minerals |
| Acqua Panna | Spring | 188 | 33 | 6 | 6 | 150 | 0 | Smooth profile |
| Smartwater | Vapor-distilled | 10 | 0 | 0 | 0 | 0 | 0 | Minerals added minimally |
| Core Hydration | Purified | 150 | 10 | 3 | 5 | 60 | 0 | Electrolyte-enhanced |
| Flow | Spring | 120 | 20 | 5 | 4 | 80 | 0 | Boxed water option |
