# Timeline of artificial satellites and space probes
> Timeline

| Year | Origin | Target | Status | Description |
| --- | --- | --- | --- | --- |
| 1990 | USA / Europe | Sun | Success | Ulysses solar flyby |
| 1990 | Japan | Moon | Success | Hiten probe, this was the first non-United States or USSR probe to reach the Moon |
| 1990 | USA / Europe | Earth | Success | Launch of the Hubble Space Telescope |
| 1990 | Germany | Earth | Success | Launch of the ROSAT X-ray satellite to conduct the first imaging X-ray sky survey |
| 1991 | Japan | Sun | Success | Yohkoh solar probe |
| 1991 | USA | Earth | Success | Launch of the Compton Gamma-Ray Observatory satellite |
| 1992 | USA | Mars | Failure | Mars Observer orbiter |
| 1993 | Japan | Earth | Success | Launch of the ASCA (ASTRO-D) X-ray satellite |
| 1994 | USA | Moon | Success | Clementine orbiter mapped the surface of the Moon (resolution 125–150 m) and allowed the first accurate relief map of the Moon to be generated |
| 1995 | Mexico | Earth | Failed | Unamsat 1 , First UNAM built orbiter |
| 1995 | Europe | Earth | Success | Launch of the Infrared Space Observatory |
| 1995 | Europe / USA | Sun | Success | SOHO solar probe |
| 1996 | USA | 433 Eros | Success | NEAR Shoemaker asteroid flybys/orbiter/lander |
| 1996 | USA | Mars | Success | Mars Global Surveyor orbiter |
| 1996 | USA | Mars | Success | Mars Pathfinder , the first automated surface exploration of another planet |
| 1996 | Russia | Mars | Failure | Mars 96 orbiter and lander |
| 1996 | Argentina | Earth | Failure | Sac-B Orbiter |
| 1997 | USA / Europe | Saturn and Titan | Success | Cassini-Huygens arrived in orbit on July 1, 2004, landed on Titan January 14, 2005 |
| 1997 | Argentina | Earth | Success | Nahuel 1A First Argentine satellite - geostationary communications satellites |
| 1998 | North Korea | Earth | Unknown | Claimed launch of Kwangmyongsong-1 by North Korea though no independent source was able to verify its existence |
| 1998 | USA | Moon | Success | Lunar Prospector orbiter |
| 1998 | Japan | Mars | Failure | Nozomi (Planet B) orbiter, the first Japanese spacecraft to reach another planet |
| 1998 | USA | Mars | Failure | Mars Climate Orbiter |
| 1998 | Argentina / USA | Earth | Success | Sac-A Orbiter |
| 1999 | USA | Mars | Failure | Mars Polar Lander |
| 1999 | USA | Mars | Failure | Deep Space 2 (DS2) penetrators |
| 1999 | USA | Earth | Success | Launch of the Chandra X-ray Observatory |
| 1999 | Europe | Earth | Success | Launch of the X-Ray Multi-Mirror Mission, XMM-Newton |
