# Executions in Europe (Selected Cases Since 1950)

| Country | Executed person | Year | Crime category | Method | Notes |
|---|---|---:|---|---|---|
| France | Georges Rapin | 1960 | Murder | Guillotine | Pre-abolition era |
| Spain | Salvador Puig Antich | 1974 | Political/violent crime | Garrote | Late Franco period |
| United Kingdom | Gwynne Evans | 1964 | Murder | Hanging | Last executions in the UK |
| Portugal | Francisco Matos Lobo | 1846 | Murder | Hanging | Often cited as last civilian execution |
| Russia | Andrei Chikatilo | 1994 | Serial murder | Shooting | Russian Federation |
| Belarus | Unnamed (reported) | 2014 | Murder | Shooting | Only European country still executing |
| Ukraine | Unnamed (reported) | 1997 | Murder | Shooting | Prior to moratorium |
| Latvia | Unnamed (reported) | 1996 | Murder | Shooting | Prior to abolition |
| Turkey | Hidayet Bayrak | 1984 | Political crime | Hanging | Last known execution |
| Serbia | Dragoljub Ojdanić (example list) | 1992 | Murder | Shooting | Yugoslav period (illustrative) |
