# World Clock Reference  Major Cities, Standard Time and Summer Time Labels

| Country | City | IANA time zone | Standard time label | Standard UTC offset | Summer time label | Summer UTC offset |
|---|---|---|---|---|---|---|
| United States | New York | America/New_York | Eastern Standard Time (EST) | UTC−05:00 | Eastern Daylight Time (EDT) | UTC−04:00 |
| Canada | Toronto | America/Toronto | EST | UTC−05:00 | EDT | UTC−04:00 |
| United Kingdom | London | Europe/London | Greenwich Mean Time (GMT) | UTC+00:00 | British Summer Time (BST) | UTC+01:00 |
| Germany | Berlin | Europe/Berlin | Central European Time (CET) | UTC+01:00 | Central European Summer Time (CEST) | UTC+02:00 |
| France | Paris | Europe/Paris | CET | UTC+01:00 | CEST | UTC+02:00 |
| Spain | Madrid | Europe/Madrid | CET | UTC+01:00 | CEST | UTC+02:00 |
| Japan | Tokyo | Asia/Tokyo | Japan Standard Time (JST) | UTC+09:00 | — | — |
| China | Shanghai | Asia/Shanghai | China Standard Time (CST) | UTC+08:00 | — | — |
| Australia | Sydney | Australia/Sydney | Australian Eastern Standard Time (AEST) | UTC+10:00 | Australian Eastern Daylight Time (AEDT) | UTC+11:00 |
| Brazil | Sao Paulo | America/Sao_Paulo | Brasilia Time (BRT) | UTC−03:00 | — | — |
| South Africa | Johannesburg | Africa/Johannesburg | South Africa Standard Time (SAST) | UTC+02:00 | — | — |
| Mexico | Mexico City | America/Mexico_City | Central Standard Time (CST) | UTC−06:00 | Central Daylight Time (CDT) | UTC−05:00 |
