# Spectrochemical Notes  Ligand Color Associations and Charges

| Ligand | Formula | Charge | Typical color in complexes (common observation) |
| --- | --- | --- | --- |
| Chloride | Cl− | −1 | green/yellow (varies) |
| Bromide | Br− | −1 | yellow/brown (varies) |
| Iodide | I− | −1 | brown (varies) |
| Cyanide | CN− | −1 | often colorless (strong-field) |
| Carbonyl | CO | 0 | often colorless/pale (strong-field) |
| Nitrosyl (linear) | NO+ | +1 | variable, often intense |
| Aqua | H2O | 0 | blue/green (common with Cu, Ni) |
| Ammine | NH3 | 0 | blue/violet with some Ni(II) |
| Fluoride | F− | −1 | pale/green (varies) |
| Thiocyanate (N-bound) | NCS− | −1 | red/orange (with Fe) |
