# Egyptian Mythology Genealogy (Relationships Only)

| Deity | Parent(s) | Consort | Child(ren) | Mythic group |
|---|---|---|---|---|
| Osiris | Geb; Nut | Isis | Horus | Ennead |
| Isis | Geb; Nut | Osiris | Horus | Ennead |
| Set | Geb; Nut | Nephthys (often) | (varies by tradition) | Ennead |
| Nephthys | Geb; Nut | Set | (varies by tradition) | Ennead |
| Horus | Osiris; Isis | Hathor (in some traditions) | Harsomtus (in some traditions) | Ennead |
| Geb | Shu; Tefnut | Nut | Osiris; Isis; Set; Nephthys | Ennead |
| Nut | Shu; Tefnut | Geb | Osiris; Isis; Set; Nephthys | Ennead |
| Shu | Atum | Tefnut | Geb; Nut | Ennead |
| Tefnut | Atum | Shu | Geb; Nut | Ennead |
| Anubis | Osiris (or Ra); Nephthys (varies) | (none) | (none) | Later tradition |
| Bastet | Ra (varies) | (none) | (none) | Regional cult |
| Thoth | (varies) | (varies) | (varies) | Hermopolitan tradition |
