# Daylight Saving Time Schedule by Country in Europe (Observance + Start End Rules)

| Country | DST Observed? | DST Start (clocks forward) | DST End (clocks back) | Notes |
|---|---|---|---|---|
| Germany | Yes | Last Sunday in March (02:00 local) | Last Sunday in October (03:00 local) | EU rule |
| France | Yes | Last Sunday in March (02:00 local) | Last Sunday in October (03:00 local) | EU rule |
| Spain | Yes | Last Sunday in March (02:00 local) | Last Sunday in October (03:00 local) | EU rule |
| Italy | Yes | Last Sunday in March (02:00 local) | Last Sunday in October (03:00 local) | EU rule |
| Poland | Yes | Last Sunday in March (02:00 local) | Last Sunday in October (03:00 local) | EU rule |
| Greece | Yes | Last Sunday in March (03:00 local) | Last Sunday in October (04:00 local) | EU rule |
| Russia | No | Not observed | Not observed | Permanent standard time |
| Turkey | No | Not observed | Not observed | Permanent daylight-like time policy |
| Belarus | No | Not observed | Not observed | Permanent standard time |
| Iceland | No | Not observed | Not observed | No DST |
| Ukraine | Yes | Last Sunday in March (03:00 local) | Last Sunday in October (04:00 local) | Seasonal clock changes remain |
