# Microsoft Office 2010
> Editions

| Suites [84] | As an individual product | Starter | Office Online | Personal 1 | Home and Student 2 | Home and Business 5 | Standard | Professional 5 Professional Academic 6 University [85] [86] | Professional Plus |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Licensing scheme | Varies | OEM | Free | Retail and OEM | Retail | Retail | Retail 3 and Volume | Academic [81] and Retail | Retail 3 and Volume |
| Word | Yes | Starter edition | Basic | Yes | Yes | Yes | Yes | Yes | Yes |
| Excel | Yes | Starter edition | Basic | Yes | Yes | Yes | Yes | Yes | Yes |
| PowerPoint | Yes | Viewer (Separate) | Basic | Viewer (Separate) | Yes | Yes | Yes | Yes | Yes |
| OneNote | Yes | No | Basic | No | Yes | Yes | Yes | Yes | Yes |
| Outlook | Yes | No | No | Yes | No | Yes | Yes | Yes | Yes |
| Publisher | Yes | No | No | No | No | No | Yes | Yes | Yes |
| Access | Yes | No | No | No | No | No | No | Yes | Yes |
| InfoPath | Yes [87] | No | No | No | No | No | No | No | Yes |
| SharePoint Workspace | Yes [88] | No | No | No | No | No | No | No | Yes |
| SharePoint Designer | Yes | No | No | No | No | No | No | No | No |
| Project | Yes | No | No | No | No | No | No | No | No |
| Visio | Yes | Viewer (Separate) | No | Viewer | Viewer | Viewer | Viewer (Separate) | Viewer | Viewer |
| Lync | Yes | No | No | No | No | No | No | No | Volume channel only [89] [90] |
| Office Customization Tool (OCT) 4 [91] | No | No | No | No | No | No | Volume channel only | No | Volume channel only |
