# Newborn Screening Biomarkers and the Conditions They Suggest (No Locus Provided)

| Screening marker | Result pattern | Suggested condition(s) | Specimen | Follow-up test |
|---|---|---|---|---|
| TSH | High | Congenital hypothyroidism | Dried blood spot | Serum TSH/T4 |
| Phenylalanine | High | Phenylketonuria | Dried blood spot | Quantitative amino acids |
| IRT (immunoreactive trypsinogen) | High | Cystic fibrosis (screen-positive) | Dried blood spot | Sweat chloride / CFTR panel |
| Galactose (total) | High | Galactosemia | Dried blood spot | GALT activity |
| 17-hydroxyprogesterone | High | Congenital adrenal hyperplasia | Dried blood spot | Serum steroids |
| C3 acylcarnitine | High | Propionic acidemia / MMA | Dried blood spot | Plasma acylcarnitines |
| MS/MS leucine/isoleucine | High | Maple syrup urine disease | Dried blood spot | Confirmatory amino acids |
| Biotinidase activity | Low | Biotinidase deficiency | Dried blood spot | Enzyme assay repeat |
| Hemoglobin pattern | HbS present | Sickle cell disease | Dried blood spot | HPLC/electrophoresis |
