# Landlocked Countries Grouped by Continent (Expanded List for Scanning)

| World Region | Country | Typical Regional Grouping | Coastline Status |
| --- | --- | --- | --- |
| Africa | Burkina Faso | West Africa | No coastline (landlocked) |
| Africa | Central African Republic | Middle Africa | No coastline (landlocked) |
| Africa | Rwanda | East Africa (Great Lakes) | No coastline (landlocked) |
| Africa | Uganda | East Africa | No coastline (landlocked) |
| Africa | Zambia | Southern Africa | No coastline (landlocked) |
| Europe | Switzerland | Western/Central Europe (Alps) | No coastline (landlocked) |
| Europe | Serbia | Southeast Europe (Balkans) | No coastline (landlocked) |
| Europe | North Macedonia | Southeast Europe (Balkans) | No coastline (landlocked) |
| Asia | Mongolia | East/Central Asia | No coastline (landlocked) |
| Asia | Nepal | Southern Asia (Himalayas) | No coastline (landlocked) |
| Asia | Uzbekistan | Central Asia | No coastline (landlocked) |
| Asia | Bhutan | Southern Asia (Himalayas) | No coastline (landlocked) |
| South America | Paraguay | South America (Southern Cone) | No coastline (landlocked) |
