# Under 19 Bundesliga
> Top scorers

| Season | Player | Club | Goals |
| --- | --- | --- | --- |
| 2007–08 | Deniz Aycicek Carsten Kammlott | Hannover 96 Rot-Weiß Erfurt | 17 |
| 2008–09 | Pascal Testroet | Werder Bremen | 15 |
| 2009–10 | Mario Petry | VfL Wolfsburg | 22 |
| 2010–11 | Gerrit Wegkamp | VfL Osnabrück | 20 |
| 2011–12 | Kai Druschky Philip Hauck Kevin Zschimmer | 1. FC Union Berlin VfL Wolfsburg Hallescher FC | 16 |
| 2012–13 | Federico Palacios Martínez | VfL Wolfsburg | 16 |
| 2013–14 | Federico Palacios Martínez | VfL Wolfsburg | 29 |
| 2014–15 | Nico Empen | FC St. Pauli | 26 |
| 2015–16 | Johannes Eggestein | Werder Bremen | 33 |
