# Gender-diverse (transgender, non-binary, gender-nonconforming) characters in film and television

| Character | Screen media | Format | Gender identity / gender diversity representation | Notes |
| --- | --- | --- | --- | --- |
| Sophia Burset | Orange Is the New Black | TV series | Transgender woman | Incarcerated trans woman; transition and healthcare shown |
| Maura Pfefferman | Transparent | TV series | Transgender woman | Central character; late-life transition storyline |
| Nomi Marks | Sense8 | TV series | Transgender woman | Hacker/activist; trans identity acknowledged in narrative |
| Jules Vaughn | Euphoria | TV series | Transgender girl | Teenage trans character; relationships and dysphoria themes |
| Paul Strickland | 9-1-1: Lone Star | TV series | Transgender man | Firefighter; coming-out and family dynamics depicted |
| Theo Putnam | Chilling Adventures of Sabrina | TV series | Transgender boy | School and peer interactions include affirming language |
| Blanca Rodriguez | Pose | TV series | Transgender woman | Ballroom community; trans woman protagonist |
| Angel Evangelista | Pose | TV series | Transgender woman | Modeling storyline; trans dating stigma addressed |
| Viktor Hargreeves | The Umbrella Academy | TV series | Transgender man | Character transitions on-screen in later seasons |
| Cal Bowman | Sex Education | TV series | Non-binary | Uses they/them; relationship and identity explored |
| Adira Tal | Star Trek: Discovery | TV series | Non-binary | They/them pronouns; supported by crew and partner |
| Jim Jimenez | Our Flag Means Death | TV series | Non-binary | They/them; gender presentation varies |
| Taylor Mason | Billions | TV series | Non-binary | Introduced explicitly as non-binary in dialogue |
| Hana | Tokyo Godfathers | Film | Transgender woman | Depicted as a trans woman; found-family narrative |
| Bree Osbourne | Transamerica | Film | Transgender woman | Road-trip plot centered on her transition and family |
| Dil | The Crying Game | Film | Transgender woman (depicted) | Plot hinges on her gender identity revelation |
| Hedwig | Hedwig and the Angry Inch | Film | Gender-nonconforming / transfeminine themes | Rock musical centered on gender and body autonomy |
| Brandon Teena | Boys Don't Cry | Film | Transgender man | Based on real person; violence and identity central |
| Lili Elbe | The Danish Girl | Film | Transgender woman | Period transition narrative (dramatized) |
| Ray | 3 Generations | Film | Transgender boy | Family-focused transition and name/pronoun use |
| Asuka / Oscar | Wandering Son | TV anime series | Transgender girl (questioning) | Coming-of-age about gender dysphoria |
