# Registered Nurse (RN) Pay in Boston, MA — Job-Listing Style Ranges

| Boston, MA Employer / Facility | RN Job Listing Title | Pay Format | Reported Pay | Notes |
| --- | --- | --- | --- | --- |
| Brigham and Women's Hospital | Staff Nurse (RN) | Hourly Range | $44.00–$54.00/hr | Boston, MA |
| Boston Medical Center | Registered Nurse (RN), Med-Surg | Annual Range | $84,000–$110,000/yr | Boston, MA |
| Massachusetts General Hospital | Registered Nurse (RN), ICU | Hourly Range | $36.00–$49.00/hr | Boston, MA |
| Boston Children's Hospital | Registered Nurse (RN), Float Pool | Hourly Range | $35.00–$46.00/hr | Boston, MA |
| Tufts Medical Center | Registered Nurse (RN), Emergency Dept. | Annual Range | $88,000–$118,000/yr | Boston, MA |
| Beth Israel Deaconess Medical Center | Registered Nurse (RN), Operating Room | Hourly Range | $46.00–$58.00/hr | Boston, MA |
| Dana-Farber Cancer Institute | Registered Nurse (RN), Infusion | Hourly Range | $43.00–$55.00/hr | Boston, MA |
| Spaulding Rehabilitation Hospital | Registered Nurse (RN), Rehab | Hourly Range | $27.00–$38.00/hr | Boston, MA |
| New England Baptist Hospital | Registered Nurse (RN), Orthopedics | Annual Range | $86,000–$112,000/yr | Boston, MA |
| VA Boston Healthcare System | Registered Nurse (RN) | Annual Range | $80,000–$105,000/yr | Boston, MA |
