# Administrative Divisions of Pune (Maharashtra) - Ward and Taluka Directory

| Division Level | Name | Parent | State |
| --- | --- | --- | --- |
| District | Pune | Maharashtra | Maharashtra |
| Taluka | Haveli | Pune District | Maharashtra |
| Taluka | Mulshi | Pune District | Maharashtra |
| Taluka | Shirur | Pune District | Maharashtra |
| Municipal Zone | Zone 1 | Pune Municipal Corporation | Maharashtra |
| Municipal Zone | Zone 2 | Pune Municipal Corporation | Maharashtra |
| Ward | Aundh-Baner Ward | Zone 2 | Maharashtra |
| Ward | Shivajinagar-Ghole Road Ward | Zone 1 | Maharashtra |
| Ward | Yerwada-Kalas-Dhanori Ward | Zone 1 | Maharashtra |
