# List of Ni Hao , Kai - Lan episodes
> Season 1 : 2007–08

| Airdate | No. | Episode Title | Problem | Words in Mandarin Chinese |
| --- | --- | --- | --- | --- |
| November 5, 2007 | 101 | Dragonboat Festival | The gang is going to have a dragon boat festival. When Rintoo and Kai-Lan come in last place at the first dragon boat race because Rintoo wasn't following the peeking mice's drumbeat, he gets really mad, and whacks the boat onto a gazebo roof. Kai-Lan has to show him what to do when you feel too mad. | 你好 nǐ hǎo - hello, 爺爺 yé yé - Grandpa, 我来了 wǒ lái le - I'm coming, 一、二、三 yī, èr, sān - one, two, three, 跳 tiáo - jump, 謝謝 xiè xiè - thank you, 再見 zài jiàn - goodbye |
| November 12, 2007 | 102 | Everybody's Hat Parade | Rintoo makes a very special hat for the hat parade, but when Hoho copies his idea, Rintoo doesn't like it! | 帽子 mào zǐ - hat |
| July 8, 2008 | 103 | Hoho's Big Flight | It's the lantern festival, but Hoho isn't listening to Ye-Ye's instructions and instead chases leaves, sniffs apples, and sways lanterns, so he eventually loses his lantern. And what's worse Hoho doesn't know how to listen. | -聼 tīng listen, 汤圆 tāng yuán - Sticky Rice Dumplings |
| July 15, 2008 | 104 | Safari Pals | The gang is going on a safari, and Rintoo gets jealous of Stompy the Elephant because he wants to be big like him and the rest of the gang starts playing with Stompy instead of Rintoo. | 推 tuī - push da xiang' - elephant |
| July 22, 2008 | 105 | Twirly Whirly Flyers | While playing Twirly Whirly Flyers, Tolee was spinning so much he accidentally lands on the ants' bridge and breaks it, so he runs away. | -紅色 hóng sè - red, 綠色 lǜ sé - green, 哎呀 āi-yā - O, No! |
| July 28, 2008 | 106 | The Snowiest Ride | Kai-Lan helps Tolee overcome his fear of sledding by taking things little by little. 1st they down a small hill, then a medium-sized hill, then finally the big hill. | 雪 xué - snow, 抱抱 bào bào - hug, tiáo - jump, āi yā - O, No! |
| August 5, 2008 | 107 | Tolee's Rhyme Time | The gang is going to have a music show, with Kai-Lan on a tambourine, Rintoo on a xylophone, Hoho on the turntables and Tolee on the vocals to sing a rhyming song. The gang keeps trying with their difficult parts, but Tolee was having a hard time finding what rhymes with the words he recently states, and quickly gives up. | 上 shàng - up, 下 xià - down |
| August 12, 2008 | 108 | Kai-Lan's Campout | The gang is having a campout in Kai-Lan's backyard, but when they want to play with Tolee's panda doll Pandy, he refuses to share him. Kai-Lan needs to remind him to be a good friend and share. | 拖鞋 tuō xié - slippers, 手電筒 shǒu diàn tǒng - flashlight, 牙刷 yá shuā - toothbrush, 毯子 tǎn zi - blanket, 袜子 wà zi - socks, 枕头 zhěn tou - pillow, 短裤 duǎn kù - underwear, 睡袋 shuì dài - sleeping bag |
| August 19, 2008 | 109 | Wait, Hoho, Wait! | Hoho is having a hard time waiting for Rintoo's car to be done, so he jumps in and accidentally breaks the car just before it's ready. Kai-Lan tries to help Hoho find a way to be patient. | 推 tuī - push, 饺子 jiǎo zi - dumplings, 筷子 kuài zi - chopsticks, 汽车 qì chē - car, 四 sì - four, 五 wǔ - five |
| August 26, 2008 | 110 | The Ant Playground | Kai-lan and her friends help build a new swing for the ants' playground. But it's way too big for them! | 上 shàng - up, 下 xià - down, 火车 huǒ chē - train, 滑梯 huá tī - slide, 蚂蚁 mǎ yǐ - Ant |
| September 2, 2008 | 111 | Happy Chinese New Year! | While the dragon team carries the dragon to the Chinese New Year parade, Rintoo gets upset and quits because he doesn't want to be in the "boring" middle. So Kai-lan needs to teach Rintoo that his job as a team is important. | 新年快樂！ xīn nián kuài lè - Happy Chinese New Year!, 龙 lóng - Dragon , 恭喜 gōng xǐ - Congratulations |
| September 9, 2008 | 112 | Ni Hao, Halloween | After spraining his ankle on a rock because he did not watch where he was going, Rintoo has to stay in bed, and starts crying because he can't go trick or treating with his friends. Kai-Lan and her friends refuse to go without him, and need to find a way for him to go trick or treating with his friends. | 跳 tiáo - jump, 糖 táng - sugar, 孫悟空 Sun Wukong - Monkey King, 哭泣 Kūqì - Sob |
| September 16, 2008 | 113 | Beach Day | When a wave accidentally knocks over Tolee's sandcastle three times, Tolee, mistaking Eilonwy for a woman, becomes angry and stomps on his friends' whole sandcastle. Kai-Lan must get Tolee to calm down so they can finish the sandcastle. | 貝殼 bèi ké - seashell, 挖 wā - dig, 螃蟹 páng xiè - crab, āi yā - O, No! |
| September 30, 2008 | 114 | Roller Rintoo | Rintoo wants to be good at roller-skating, but at first it's more difficult than he expected, until he learns to take it slow by going on two hands, then one hand, then all by yourself. | 快 kuài - fast, 溜冰鞋 liù bīng xié - roller skates, 頭盔 tóu kuī - helmet, 護膝 hù xī - knee pads |
| October 7, 2008 | 115 | Rain or Shine | Rintoo, Tolee and Hoho are sad because they can't play with their stuff in the rain, but Kai-Lan has to teach them that there are some things you can do in the rain. Note : This is the only episode that features two problems instead of one and the first time Rintoo, Tolee and Hoho solve the problem instead of Kai-Lan. The only other episode to use the problem solved by Kai-lan's friends are Kai-Lan's Big Surprise and The Dinosaur Balloon | 拉 la - pull, 青蛙 qīng wā - frog, 蜗牛 wō niú - snail, 乌龟 wū guī - turtle, 虫子 chóng zi - worm |
| October 14, 2008 | 116 | Kai-Lan's Carnival | Rintoo and Hoho run away when they accidentally break Stompy's giant roller coaster, the reason being the balls at a splashing game bounced off and hit a tire, then a coconut, then a seesaw, which made a beanbag box fly into the air and land on the rocket, So Kai-Lan needs to teach Hoho and Rintoo that they need to say "sorry", and help fix it. | 八 bā - eight, 拉 la - pull |
| October 21, 2008 | 117 | Lulu Day | Kai-Lan and Lulu have a special play date but can't figure out what to play together because they want to play with different things. So they learn how to compromise . | 吹 chuī - blow, 風車 feng chē - pinwheel, 太阳 tài yáng - sun, 手镯 shǒu zhuó - bracelet, 熊猫 xióng māo - panda, 跑车 pǎo chē - race car, 茶壶 chá hú - teapot |
