# U.S. State Seat Belt Laws (Selected States) — Coverage, Seating Position, and Monetary Penalties

| State | Who is Covered (Age/Occupant) | Where the Requirement Applies (Seat) | Enforcement Type | Monetary Penalty (Typical/Maximum) | Notes / Immediate Consequence |
| --- | --- | --- | --- | --- | --- |
| Alabama | Front-seat occupants (generally age 15+); children handled under separate child-restraint rules | Front | Primary | Up to $25 | Citation for unbelted covered occupant |
| Alaska | Driver and all passengers (no broad back-seat adult exemption) | All | Secondary | Up to $15 | Ticket generally requires another stop reason |
| Arizona | Driver and front-seat passengers; minors may be covered more broadly | Front | Secondary | Up to $10 | Fine applies when cited for another violation |
| Connecticut | Driver + all passengers under 16; older passengers primarily front-seat | All for <16; otherwise front | Primary | $92 (typical) | Civil infraction/traffic ticket |
| Florida | Driver and front-seat passengers; under-18 passengers in all seating positions | All for <18; front for adults | Primary | About $30 (plus fees) | Non-criminal traffic infraction |
| Indiana | Driver and front-seat passengers; under-16 passengers in all seats | All for <16; front for adults | Primary | Up to $25 | Stop permitted for seat belt violation |
| Louisiana | Driver and all passengers (age thresholds vary; minors covered broadly) | All | Primary | Up to $50 | Fine may vary with age/seat position |
| Michigan | Driver and front-seat occupants; passengers under 16 in all seats | All for <16; front for adults | Primary | About $25 | Civil fine for covered occupants |
| New Jersey | Driver and all passengers (including rear seat) | All | Primary | $46–$54 (typical range) | Ticket for any unbelted occupant |
| Washington | Driver and all passengers (with limited exceptions) | All | Primary | About $136 | Standard traffic infraction |
| West Virginia | Driver and front-seat passengers; minors treated separately | Front | Primary | Up to $25 | Citation for covered unbelted occupant |
