# Quick Identification Guide to Oxygen-Containing Functional Groups by Formula Patterns

| Formula pattern to recognize | Functional group identified | Oxygen count | Notes / distinguishing feature | Example (condensed) |
| --- | --- | --- | --- | --- |
| ROH | Alcohol | 1 | O bonded to H and carbon (not aromatic ring) | CH3CH2OH |
| ArOH | Phenol | 1 | Hydroxyl directly on aromatic ring | C6H5OH |
| ROR' | Ether | 1 | Oxygen between two carbon groups | CH3OCH3 |
| RCHO | Aldehyde | 1 | Terminal carbonyl with H on carbonyl carbon | CH3CHO |
| RCOR' | Ketone | 1 | Internal carbonyl (two carbon substituents) | CH3COCH3 |
| RCOOH (or RCO2H) | Carboxylic acid | 2 | Carbonyl + hydroxyl on same carbon | CH3COOH |
| RCOOR' (or RCO2R') | Ester | 2 | Carbonyl + alkoxy (–OR') on same carbon | CH3COOCH2CH3 |
| RCOOCO R' (or RCO-O-CO R') | Acid anhydride | 3 | Two acyl groups connected by an oxygen | (CH3CO)2O |
| RCOCl (general: RCOX) | Acyl halide | 1 | Carbonyl carbon bonded to halogen | CH3COCl |
| RCOO^- (carboxylate) | Carboxylate salt/anion | 2 | Deprotonated carboxylic acid; often paired with M+ | CH3COO^-Na^+ |
| RONO2 | Nitrate ester | 3 | –ONO2 group (not the same as nitro RNO2) | CH3ONO2 |
