# FIDE World Rankings
> Top players

| Rank | Player | Rating |
| --- | --- | --- |
| 1 | Magnus Carlsen | 2854 |
| 2 | Vladimir Kramnik | 2817 |
| 3 | Fabiano Caruana | 2813 |
| 4 | Maxime Vachier-Lagrave | 2811 |
| 5 | Levon Aronian | 2795 |
| 6 | Wesley So | 2794 |
| 7 | Hikaru Nakamura | 2787 |
| 8 | Viswanathan Anand | 2776 |
| 9 | Sergey Karjakin | 2772 |
| 10 | Ding Liren | 2764 |
| 11 | Shakhriyar Mamedyarov | 2762 |
| 12 | Pentala Harikrishna | 2762 |
| 13 | Veselin Topalov | 2760 |
| 14 | Anish Giri | 2756 |
| 15 | Alexander Grischuk | 2752 |
| 16 | Ian Nepomniachtchi | 2749 |
| 17 | Radoslaw Wojtaszek | 2746 |
| 18 | Michael Adams | 2745 |
| 19 | Peter Svidler | 2745 |
| 20 | Boris Gelfand | 2743 |
