# Leeds City Council School Term Dates and Holidays 2017-2018 (Council Area Overview)

| Term / Holiday | Start Date | End Date | Category |
| --- | --- | --- | --- |
| Autumn Term (Part 1) | 2017-09-04 | 2017-10-20 | Term time |
| Autumn Half Term | 2017-10-21 | 2017-10-29 | Holiday |
| Autumn Term (Part 2) | 2017-10-30 | 2017-12-22 | Term time |
| Christmas Holidays | 2017-12-23 | 2018-01-07 | Holiday |
| Spring Term (Part 1) | 2018-01-08 | 2018-02-09 | Term time |
| Spring Half Term | 2018-02-10 | 2018-02-18 | Holiday |
| Spring Term (Part 2) | 2018-02-19 | 2018-03-29 | Term time |
| Easter Holidays | 2018-03-30 | 2018-04-15 | Holiday |
| Summer Term (Part 1) | 2018-04-16 | 2018-05-25 | Term time |
| May Day (Bank Holiday) | 2018-05-07 | 2018-05-07 | Public holiday |
| Summer Half Term | 2018-05-26 | 2018-06-03 | Holiday |
| Summer Term (Part 2) | 2018-06-04 | 2018-07-20 | Term time |
| Summer Holidays | 2018-07-21 | 2018-09-02 | Holiday |
