# List of Curb Your Enthusiasm guest stars
> Season 6 ( 2007 )

| Guest star | Role | Episode(s) |
| --- | --- | --- |
| Susie Essman | Susie Greene | Episode 51, "Meet the Blacks" Episode 52, "The Anonymous Donor" Episode 53, "The Ida Funkhouser Roadside Memorial" Episode 54, "The Lefty Call" Episode 55, "The Freak Book" Episode 56, "The Rat Dog" Episode 57, "The TiVo Guy" Episode 58, "The N Word" Episode 59, "The Therapists" Episode 60, "The Bat Mitzvah" |
| Vivica A. Fox | Loretta Black | Episode 51, "Meet the Blacks" Episode 52, "The Anonymous Donor" Episode 53, "The Ida Funkhouser Roadside Memorial" Episode 54, "The Lefty Call" Episode 56, "The Rat Dog" Episode 57, "The TiVo Guy" Episode 58, "The N Word" Episode 59, "The Therapists" Episode 60, "The Bat Mitzvah" |
| Bob Einstein | Marty Funkhouser | Episode 51, "Meet the Blacks" Episode 53, "The Ida Funkhouser Roadside Memorial" Episode 57, "The TiVo Guy" Episode 59, "The Therapists" Episode 60, "The Bat Mitzvah" |
| Gina Gershon | Anna | Episode 52, "The Anonymous Donor" |
| J. B. Smoove [s6 1] | Leon | Episode 54, "The Lefty Call" Episode 56, "The Rat Dog" Episode 57, "The TiVo Guy" Episode 58, "The N Word" Episode 59, "The Therapists" Episode 60, "The Bat Mitzvah" |
| Shelley Berman | Nat David | Episode 56, "The Rat Dog" |
| Tim Meadows | Hal | Episode 56, "The Rat Dog" |
| Steve Coogan | Dr. Bright | Episode 59, "The Therapists" |
| Michael McKean | Matt Tessler | Episode 60, "The Bat Mitzvah" |
