# Demographics of Tunisia
> Population

|  | Average population | Live births | Deaths | Natural change | Crude birth rate (per 1,000) | Crude death rate (per 1,000) | Natural change (per 1,000) | Fertility rates |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 1990 |  |  |  |  | 25.2 | 5.6 | 19.6 | 3.38 |
| 1991 |  |  |  |  | 24.9 | 5.6 | 19.3 | 3.31 |
| 1992 |  |  |  |  | 24.9 | 5.5 | 19.5 | 3.27 |
| 1993 | 8 572 200 |  |  |  | 24.0 | 5.7 | 18.3 | 3.12 |
| 1994 | 8 785 700 |  |  |  | 22.7 | 5.7 | 17.0 | 2.90 |
| 1995 | 8 957 500 |  |  |  | 20.8 | 5.8 | 15.0 | 2.67 |
| 1996 | 9 089 300 |  |  |  | 19.7 | 5.5 | 14.2 | 2.51 |
| 1997 | 9 214 900 |  |  |  | 18.9 | 5.6 | 13.2 | 2.38 |
| 1998 | 9 333 300 |  |  |  | 17.9 | 5.6 | 12.3 | 2.23 |
| 1999 | 9 455 900 |  |  |  | 16.9 | 5.7 | 11.2 | 2.09 |
| 2000 | 9 552 500 |  |  |  | 17.1 | 5.6 | 11.4 | 2.08 |
| 2001 | 9 650 600 |  |  |  | 16.9 | 5.6 | 11.4 | 2.05 |
| 2002 | 9 748 900 | 163 011 |  |  | 16.7 | 5.8 | 10.8 | 2.00 |
| 2003 | 9 839 800 | 168 022 |  |  | 17.1 | 6.1 | 11.0 | 2.06 |
| 2004 | 9 932 400 | 166 551 |  |  | 16.8 | 6.0 | 10.8 | 2.02 |
| 2005 | 10 029 000 | 170 999 | 58 673 | 112 326 | 17.1 | 5.9 | 11.2 | 2.04 |
| 2006 | 10 127 900 | 173 390 | 57 000 | 116 390 | 17.1 | 5.6 | 11.5 | 2.03 |
| 2007 | 10 225 100 | 177 503 | 56 741 | 120 762 | 17.4 | 5.5 | 11.8 | 2.04 |
| 2008 | 10 328 900 | 182 990 | 59 975 | 123 015 | 17.7 | 5.8 | 11.9 | 2.06 |
| 2009 | 10 439 600 | 184 282 | 59 499 | 124 783 | 17.7 | 5.7 | 12.0 | 2.05 |
| 2010 | 10 547 100 | 196 039 | 60 438 | 135 601 | 18.6 | 5.7 | 12.9 | 2.13 |
| 2011 | 10 673 800 | 201 120 | 63 258 | 137 862 | 18.8 | 5.9 | 12.9 | 2.15 |
| 2012 | 10 777 500 | 217 738 | 63 257 | 154 481 | 20.2 | 5.9 | 14.3 | 2.38 |
| 2013 | 10 886 500 | 222 962 | 61 730 | 161 232 | 20.5 | 5.7 | 14.8 | 2.41 |
| 2014 | 10 982 754 | 225 887 | 62 785 | 163 102 | 20.5 | 5.7 | 14.8 | 2.42 |
