# 2025 Interfaith Holy Days (Selected) — Date Ranges and Notes

| Date(s) | Holy Day | Faith Tradition | Notes |
| --- | --- | --- | --- |
| Mar 13–14, 2025 | Purim | Judaism | Evening-to-evening |
| Apr 12–20, 2025 | Passover | Judaism | First/last days vary by community |
| Jun 1–2, 2025 | Shavuot | Judaism | Two days in many diaspora communities |
| Feb 28–Mar 30, 2025 | Ramadan (estimated) | Islam | Lunar calendar; dates may vary |
| Mar 30–31, 2025 | Eid al-Fitr (estimated) | Islam | Following Ramadan |
| Apr 18, 2025 | Good Friday | Christianity | Western churches |
| Apr 20, 2025 | Easter | Christianity | Western churches |
| Oct 20, 2025 | Diwali | Hinduism/Sikhism/Jainism | Observed across traditions |
| Dec 25, 2025 | Christmas | Christianity | Fixed date |
