# Strictly Come Dancing ( series 4 )
> Weekly scores and songs

| Couple | Score | Dance | Music | Result |
| --- | --- | --- | --- | --- |
| Louisa & Vincent | 29 (6,8,7,8) | Salsa | " Bailamos "— Enrique Iglesias | Safe |
| Matt & Lilia | 25 (5,6,7,7) | Salsa | " Perfect Love "- Simply Red | Safe |
| Jan & Anton | 25 (5,6,7,7) | Viennese Waltz | " Iris "— The Goo Goo Dolls | Eliminated |
| Ray & Camilla | 35 (8,9,9,9) | Viennese Waltz | " I'll Make Love To You "— Boyz II Men | Safe |
| Claire & Brendan | 21 (4,5,6,6) | Salsa | " Senorita "— Justin Timberlake | Bottom two |
| Mark & Karen | 36 (9,9,9,9) | Salsa | " Hot, Hot, Hot "- Arrow | Safe |
| Emma & Darren | 34 (8,9,8,9) | Viennese Waltz | " Kiss From A Rose "— Seal | Safe |
| Peter & Erin | 28 (6,7,8,7) | Vienesse Waltz | " Have You Ever Really Loved a Woman? "- Bryan Adams | Safe |
| Carol & Matthew | 29 (7,6,8,8) | Salsa | " Don't Stop 'Til You Get Enough "— Michael Jackson | Safe |
