# Top Gear Test Track — Power Lap Sector Splits (No Total Lap Time)

| Rank | Vehicle | Episode | Sector 1 (s) | Sector 2 (s) | Sector 3 (s) | Notes |
| --- | --- | --- | --- | --- | --- | --- |
| 1 | McLaren 675LT | Series 23, Episode 2 | 24.1 | 25.0 | 24.6 | Dry |
| 2 | Pagani Huayra | Series 19, Episode 1 | 24.0 | 25.4 | 24.9 | Dry |
| 3 | BAC Mono | Series 20, Episode 2 | 24.6 | 25.7 | 25.1 | Dry |
| 4 | Ariel Atom V8 500 | Series 16, Episode 1 | 24.9 | 26.1 | 25.2 | Moist run mentioned |
| 5 | Koenigsegg CCX (with wing) | Series 8, Episode 4 | 26.1 | 26.0 | 25.4 | Cold day |
| 6 | Bugatti Veyron Super Sport | Special | 25.6 | 26.3 | 25.7 | Traffic on cool-down lap |
| 7 | Nissan GT-R (2012) | Series 17, Episode 4 | 26.8 | 27.0 | 26.2 | Driver noted understeer |
| 8 | Noble M600 | Series 14, Episode 5 | 26.7 | 26.8 | 26.4 | Cold tires |
| 9 | Ascari A10 | Series 13, Episode 2 | 26.3 | 26.6 | 26.0 | Dry |
| 10 | Gumpert Apollo | Series 11, Episode 6 | 26.4 | 26.5 | 25.9 | Dry |
