# Country Status under the Paris Agreement — Signature, Ratification Acceptance Approval, and Entry into Force (Selected)

| Country | Signed | Ratified/Accepted/Approved | Status | Agreement In Force For Country |
|---|---|---|---|---|
| Afghanistan | 22 Apr 2016 | 15 Feb 2017 | Ratified | Yes |
| Albania | 22 Apr 2016 | 21 Sep 2016 | Ratified | Yes |
| Algeria | 22 Apr 2016 | 20 Oct 2016 | Ratified | Yes |
| Argentina | 22 Apr 2016 | 21 Sep 2016 | Ratified | Yes |
| Australia | 22 Apr 2016 | 10 Nov 2016 | Ratified | Yes |
| Brazil | 22 Apr 2016 | 21 Sep 2016 | Ratified | Yes |
| Canada | 22 Apr 2016 | 05 Oct 2016 | Ratified | Yes |
| Iran | 22 Apr 2016 | Not deposited | Signed only | No |
| Iraq | 22 Apr 2016 | 17 Aug 2021 | Acceded | Yes |
| Turkey | 22 Apr 2016 | 11 Oct 2021 | Ratified | Yes |
| United States | 22 Apr 2016 | 03 Sep 2016 | Ratified | Yes |
| United States (re-joined) | — | 19 Feb 2021 | Acceptance (re-join) | Yes |
