# Supreme Court of California — Selected Justices and Their Appointing Governors

| Justice | Position | Year Appointed | Appointing Authority (Full Name) | Notes |
|---|---|---:|---|---|
| Tani G. Cantil-Sakauye | Chief Justice (Ret.) | 2010 | Arnold Schwarzenegger | Elevated from Associate Justice to Chief Justice |
| Ming W. Chin | Associate Justice | 1996 | Pete Wilson | Served multiple terms after retention elections |
| Marvin R. Baxter | Associate Justice (Ret.) | 1996 | Pete Wilson | Joined the court in the mid-1990s |
| Carol A. Corrigan | Associate Justice | 2005 | Arnold Schwarzenegger | Former justice on the First District Court of Appeal |
| Goodwin H. Liu | Associate Justice | 2011 | Jerry Brown | Former academic and federal appellate nominee |
| Leondra R. Kruger | Associate Justice | 2015 | Jerry Brown | Former U.S. Solicitor General’s Office attorney |
| Joshua P. Groban | Associate Justice | 2018 | Jerry Brown | Former presidential counselor |
| Patricia Guerrero | Associate Justice | 2022 | Gavin Newsom | Former Court of Appeal justice |
| Kelli M. Evans | Associate Justice | 2022 | Gavin Newsom | Former Court of Appeal justice |
