# Yellow Fever Vaccination Requirements for Travelers by Destination (Entry Rules Summary)

| Destination | Yellow fever vaccine required for entry? | When required (traveler profile / routing) | Yellow fever vaccine recommended for travel? | Proof format notes |
| --- | --- | --- | --- | --- |
| Ghana | Yes | Required for all travelers aged ≥9 months | Yes | International Certificate of Vaccination or Prophylaxis (ICVP) commonly checked |
| Brazil | No (generally) | Not required for direct entry in most cases | Yes (risk areas) | Carry ICVP if vaccinated; rules can vary by itinerary |
| Kenya | Yes (conditional) | Required if arriving from or transiting through a yellow-fever-risk country | Yes | Entry screening may request ICVP for affected routing |
| Tanzania | Yes (conditional) | Required if arriving from a yellow-fever-risk country | Sometimes (limited risk) | ICVP may be requested based on travel history |
| Thailand | Yes (conditional) | Required if arriving from a yellow-fever-risk country | No (for most travelers) | ICVP needed only for affected routing |
| Egypt | Yes (conditional) | Required if arriving from a yellow-fever-risk country | No (for most travelers) | ICVP often required when coming from risk areas |
| Australia | No | Not required for entry | No | No yellow fever proof needed unless special circumstances apply |
| Saudi Arabia | Yes (conditional) | Required if arriving from a yellow-fever-risk country | No (for most travelers) | ICVP required when applicable |
| Colombia | No (generally) | Not required for direct entry in most cases | Yes (risk areas) | Consider ICVP for onward travel/verification |
