# University Earnings by Credential and Typical Career Outcomes (Average Pay)

| Credential Earned | Field of Study | Common Occupation Focus | Average Annual Pay (National) | Notes |
| --- | --- | --- | --- | --- |
| BA | Economics | Financial Analyst | $78,500 | Pay shown by job outcome, not by degree only |
| BA | English | Technical Writer | $74,200 | Typical role among graduates |
| BS | Computer Science | Software Developer | $121,000 | Occupational median used |
| BS | Nursing | Registered Nurse | $86,900 | License-based role |
| MS | Data Science | Data Scientist | $129,400 | Job-centered benchmark |
| MBA | Business Administration | Product Manager | $136,000 | Role-based salary |
| PhD | Chemistry | Research Scientist | $112,300 | Occupation drives pay |
| EdD | Education Leadership | School Principal | $103,100 | Administrative occupation |
| JD | Law | Attorney | $145,000 | Job title is primary unit |
