# GDP per capita (current US$) by country, 2015–2020 (selected economies)

| Country | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 |
|---|---:|---:|---:|---:|---:|---:|
| Australia | 56,120 | 49,920 | 54,780 | 57,130 | 54,740 | 51,820 |
| Brazil | 8,840 | 8,760 | 9,920 | 8,910 | 8,720 | 6,450 |
| Canada | 43,590 | 42,100 | 45,020 | 46,320 | 46,180 | 43,280 |
| China | 8,050 | 8,140 | 8,920 | 9,980 | 10,270 | 10,430 |
| France | 36,450 | 37,120 | 39,050 | 41,460 | 40,650 | 39,180 |
| Germany | 41,220 | 42,090 | 44,770 | 47,580 | 46,260 | 45,210 |
| India | 1,610 | 1,720 | 1,980 | 2,050 | 2,100 | 1,900 |
| Japan | 34,750 | 38,520 | 38,450 | 39,290 | 40,260 | 40,110 |
| Mexico | 9,650 | 8,740 | 9,290 | 9,670 | 9,930 | 8,350 |
| South Africa | 5,720 | 5,270 | 6,130 | 6,370 | 6,000 | 5,090 |
| United Kingdom | 44,980 | 40,360 | 40,670 | 43,100 | 42,350 | 40,300 |
| United States | 56,930 | 57,890 | 60,140 | 62,870 | 65,280 | 63,540 |
