# LGBT Representation in Film and Television (By Production, With Character Counts)

| Production | Format | LGBT character count | Named examples | Notes |
| --- | --- | --- | --- | --- |
| Imagine Me & You | Film | 2 | Rachel, Luce | Main couple |
| Four Weddings and a Funeral | Film | 1 | Gareth | Supporting role |
| The Girl with the Dragon Tattoo (adaptations) | Film/TV | 2 | Lisbeth Salander, Miriam Wu | Multiple adaptations combined |
| Mean Girls | Film | 1 | Damian | Comic relief framing |
| Goldfinger | Film | 1 | Pussy Galore | Character interpretation varies |
| Miller's Crossing | Film | 2 | Mink Larouie, Eddie Dane | Brief appearances |
| Arisan! | Film | 1 | Sakti | Ensemble narrative |
| Summer of Sam | Film | 1 | Ritchie | Minor arc |
| Querelle | Film | 1 | Georges Querelle | Central figure |
| The History Boys | Film/Theatre | 3 | Dakin, Hector, Posner | Stage origin prominent |
