# Ivy League Admissions by Round (Rates Given Only for Early, Not Regular Decision)

| Ivy League University | Round | Applicants | Admits | Acceptance Rate |
|---|---|---:|---:|---:|
| Brown University | Early Decision | 6,000 | 840 | 14.0% |
| Brown University | Regular Decision | 44,000 | 1,910 | N/A |
| Columbia University | Early Decision | 6,500 | 860 | 13.2% |
| Columbia University | Regular Decision | 53,500 | 1,900 | N/A |
| Cornell University | Early Decision | 9,000 | 1,665 | 18.5% |
| Cornell University | Regular Decision | 61,000 | 3,865 | N/A |
| Dartmouth College | Early Decision | 3,500 | 600 | 17.1% |
| Dartmouth College | Regular Decision | 24,500 | 1,130 | N/A |
| Harvard University | Restrictive Early Action | 10,000 | 780 | 7.8% |
| Harvard University | Regular Decision | 47,000 | 1,270 | N/A |
| University of Pennsylvania | Early Decision | 8,000 | 1,264 | 15.8% |
| University of Pennsylvania | Regular Decision | 52,000 | 2,286 | N/A |
| Princeton University | Restrictive Early Action | 6,200 | 552 | 8.9% |
| Princeton University | Regular Decision | 31,800 | 1,298 | N/A |
| Yale University | Restrictive Early Action | 7,500 | 765 | 10.2% |
| Yale University | Regular Decision | 44,500 | 1,835 | N/A |
