# Revenge (2011) — Episode-by-Episode Cast (IMDb-style)

| Season | Episode | Actor | Character | Notes |
| --- | --- | --- | --- | --- |
| 1 | 1. "Pilot" | Emily VanCamp | Emily Thorne | Main title character for episode |
| 1 | 1. "Pilot" | Madeleine Stowe | Victoria Grayson | Appears in pilot |
| 1 | 1. "Pilot" | Gabriel Mann | Nolan Ross | Introduced |
| 1 | 2. "Trust" | Emily VanCamp | Emily Thorne | Returns |
| 1 | 2. "Trust" | Henry Czerny | Conrad Grayson | First appearance this ep |
| 1 | 3. "Betrayal" | Ashley Madekwe | Ashley Davenport | Guest in this ep |
| 1 | 3. "Betrayal" | Madeleine Stowe | Victoria Grayson | Episode credit |
| 1 | 4. "Duplicity" | Gabriel Mann | Nolan Ross | Episode credit |
| 1 | 4. "Duplicity" | Emily VanCamp | Emily Thorne | Episode credit |
