# Cairns Weekly Climate Snapshot (Typical Values by Week of Year)

| Week (Approx.) | Avg Min Temp (°C) | Avg Max Temp (°C) | Avg Precipitation (mm) |
| --- | --- | --- | --- |
| Week 1 | 24.1 | 29.3 | 95 |
| Week 5 | 24.0 | 29.2 | 110 |
| Week 9 | 23.6 | 29.0 | 85 |
| Week 13 | 23.0 | 28.7 | 55 |
| Week 17 | 21.8 | 28.0 | 35 |
| Week 21 | 20.2 | 27.0 | 18 |
| Week 25 | 19.0 | 26.4 | 10 |
| Week 29 | 18.4 | 26.3 | 8 |
| Week 33 | 18.7 | 26.8 | 9 |
| Week 37 | 19.8 | 27.6 | 12 |
| Week 41 | 21.5 | 28.4 | 20 |
| Week 45 | 22.7 | 29.0 | 35 |
