# Royal Residences and Court Locations by Year (Monarch Context Only)

| Year | Monarch in Context | Primary Court Location | Residence | Recorded Activity | Source Type |
|---:|---|---|---|---|---|
| 1685 | James II | London | Whitehall Palace | Court held; proclamations issued | Court circular |
| 1686 | James II | London | Whitehall Palace | Diplomatic receptions | Court record |
| 1688 | James II | London | Whitehall Palace | Security concerns; departures | Court record |
| 1708 | Anne | London | St James's Palace | Privy Council meetings | Gazette note |
| 1710 | Anne | Windsor | Windsor Castle | Summer court | Court circular |
| 1762 | George III | London | St James's Palace | Levee held | Court record |
| 1838 | Victoria | London | Buckingham Palace | Drawing-room | Gazette note |
| 1902 | Edward VII | London | Buckingham Palace | Investiture held | Court circular |
| 1957 | Elizabeth II | Edinburgh | Palace of Holyroodhouse | Royal week | Court circular |
