# Largest Oil & Gas Companies by Market Capitalization and Dividend Yield (Snapshot)

| Rank | Company | Ticker | Market Cap (USD B) | Dividend Yield | Notes |
|---:|---|---|---:|---:|---|
| 1 | Exxon Mobil | XOM | 410 | 3.4% | Integrated major |
| 2 | Chevron | CVX | 300 | 4.1% | Integrated major |
| 3 | Shell | SHEL | 220 | 3.8% | Integrated major |
| 4 | TotalEnergies | TTE | 150 | 4.6% | Integrated major |
| 5 | BP | BP | 110 | 4.9% | Integrated major |
| 6 | ConocoPhillips | COP | 140 | 2.2% | Upstream-focused |
| 7 | EOG Resources | EOG | 75 | 0.9% | E&P producer |
| 8 | Occidental | OXY | 55 | 1.2% | E&P/chemicals |
| 9 | Suncor Energy | SU | 45 | 4.7% | Integrated/Canada |
