# Jeep OEM Wheel Size and Hub Bolt Pattern by Model Year Range (Selected Models)

| Model / Generation | Year Range | Factory Wheel Size (OEM) | Bolt Pattern (lug x PCD) | Notes |
| --- | --- | --- | --- | --- |
| Wrangler YJ | 1987–1995 | 15x7 | 5x114.3 mm | Common OEM steel/aluminum offerings |
| Wrangler TJ | 1997–2006 | 15x7, 16x8 | 5x114.3 mm | Same hub pattern across TJ years |
| Wrangler JK | 2007–2017 | 17x7.5, 18x7.5 | 5x127 mm | Pattern change vs. YJ/TJ |
| Grand Cherokee ZJ | 1993–1998 | 15x7 | 5x114.3 mm | Early GC pattern |
| Grand Cherokee WJ | 1999–2004 | 16x7, 17x7.5 | 5x127 mm | Pattern change begins |
| Grand Cherokee WK | 2005–2010 | 17x7.5, 18x8 | 5x127 mm | Continues 5x127 |
| Cherokee XJ | 1984–2001 | 15x7 | 5x114.3 mm | Typical OEM fitment |
| Liberty KJ | 2002–2007 | 16x7, 17x7.5 | 5x114.3 mm | Compact SUV hub pattern |
| Liberty KK | 2008–2012 | 16x7, 18x7.5 | 5x114.3 mm | Same pattern as KJ |
| Commander XK | 2006–2010 | 17x7.5, 18x8 | 5x127 mm | Shares 5x127 family |
