# Console Family Hardware Sales Breakdown (Model-level Units Sold)

| Platform family | Specific console model (row = hardware) | Variant/Notes | Primary region focus | Units sold (million) |
| --- | --- | --- | --- | --- |
| Nintendo 3DS | Nintendo 3DS (original) | Baseline model | Global | 14.6 |
| Nintendo 3DS | Nintendo 3DS XL | Larger screen | Global | 19.1 |
| Nintendo 3DS | New Nintendo 3DS / XL | Mid-cycle refresh | Global | 25.5 |
| Nintendo 3DS | Nintendo 2DS | Budget wedge | Global | 13.0 |
| Nintendo 3DS | New Nintendo 2DS XL | Late refresh | Global | 7.2 |
| PlayStation Portable | PSP-1000 | Launch model | Global | 9.2 |
| PlayStation Portable | PSP-2000/3000 | Slim revisions | Global | 37.0 |
| PlayStation Portable | PSP go (N1000) | Digital-only | Global | 1.0 |
| PlayStation Portable | PSP-E1000 (Street) | Budget, EU-focused | Europe | 0.7 |
