# Cold Storage Guide for Cooked Leftovers  Refrigerator vs Freezer (Ready-to-Eat Foods)

| Category | Cooked / Ready-to-Eat Item | Refrigerator (time after cooking) | Freezer (best quality time) | Notes |
| --- | --- | --- | --- | --- |
| Grains & Starches | Cooked pasta (plain) | 3–5 days | 2 months | Cool quickly; store airtight |
| Grains & Starches | Cooked quinoa | 4–6 days | 2–3 months | Reheat to steaming hot |
| Grains & Starches | Cooked potatoes (boiled/roasted) | 3–5 days | 10–12 months | Texture may change after freezing |
| Proteins | Cooked chicken pieces | 3–4 days | 2–6 months | Keep below 40°F / 4°C |
| Proteins | Cooked ground beef/turkey | 3–4 days | 2–3 months | Freeze in meal-sized portions |
| Seafood | Cooked fish (baked/poached) | 3–4 days | 2–3 months | Lean fish freezes best |
| Soups & Stews | Soup (vegetable or meat-based) | 3–4 days | 2–3 months | Leave headspace for expansion |
| Sauces & Mixed Dishes | Cooked chili | 3–4 days | 4–6 months | Flavors often improve after 1 day |
| Vegetables | Cooked vegetables (most types) | 3–5 days | 8–12 months | Freeze works best if cooled fast |
| Breakfast/Brunch | Cooked pancakes or waffles | 3–5 days | 2–3 months | Separate with parchment when freezing |
