# Bottled Water pH Comparison (Brands and Water Types Mixed)

| Brand or Type | Category | Typical pH | Notes |
| --- | --- | --- | --- |
| Aquafina | Purified | 5.8 | RO + minerals added for taste |
| Dasani | Purified | 5.6 | Purified with mineral salts added |
| Evian | Spring (Brand) | 7.2 | French Alps spring source |
| Perrier | Sparkling Mineral (Brand) | 5.5 | Naturally carbonated |
| Reverse Osmosis Water | Water Type | 5.0–6.0 | Varies by feed water and remineralization |
| Distilled Water | Water Type | 5.5–6.5 | CO2 absorption can lower pH |
| Alkaline Ionized Water | Water Type | 8.5–9.5 | Depends on ionizer settings |
| Spring Water (generic) | Water Type | 6.5–8.0 | Highly source-dependent |
| Smartwater | Vapor-distilled (Brand) | 6.8 | Added electrolytes |
| Mineral Water (generic) | Water Type | 6.0–8.5 | Depends on dissolved minerals |
