# Bottled Water Brands — Single-Value pH Comparison (Lab Spot-Checks)

| Category | Brand | Water Type | Pack Size Tested | pH (single value) | Measurement Note |
| --- | --- | --- | --- | --- | --- |
| Purified/Enhanced | Aquafina | Purified (reverse osmosis) | 500 mL | 5.9 | Bench pH meter reading at ~22°C |
| Purified/Enhanced | Dasani | Purified with added minerals | 500 mL | 5.6 | Bench pH meter reading at ~22°C |
| Purified/Enhanced | Smartwater | Vapor-distilled with electrolytes | 1 L | 6.8 | Bench pH meter reading at ~22°C |
| Spring | Poland Spring | Spring water | 500 mL | 6.3 | Bench pH meter reading at ~22°C |
| Spring | Evian | Natural spring water | 1 L | 7.1 | Bench pH meter reading at ~22°C |
| Artesian | Fiji | Artesian water | 500 mL | 7.3 | Bench pH meter reading at ~22°C |
| Mineral/Sparkling | Perrier | Carbonated mineral water | 330 mL | 5.4 | Measured after opening, minimal degassing |
| Mineral/Sparkling | San Pellegrino | Carbonated mineral water | 500 mL | 5.6 | Measured after opening, minimal degassing |
| Alkaline/Ionized | Essentia | Ionized alkaline water | 1 L | 9.0 | Bench pH meter reading at ~22°C |
| Alkaline/Ionized | LIFEWTR | Purified with electrolytes | 700 mL | 6.2 | Bench pH meter reading at ~22°C |
