# Death Penalty in Europe  Notable Executions and Cases (Selected)

| Country | Executed person | Year | Crime | Method | Execution site |
|---|---|---:|---|---|---|
| France | Hamida Djandoubi | 1977 | Torture and murder | Guillotine | Marseille |
| Spain | Salvador Puig Antich | 1974 | Killing a police officer | Garrote | Barcelona |
| United Kingdom | Ruth Ellis | 1955 | Murder | Hanging | London (HMP Holloway) |
| Portugal | Francisco Alves ("O Diabo") | 1841 | Murder | Hanging | Lisbon |
| Greece | Nikos Koemtzis | 1973 | Multiple homicide | Firing squad | Athens |
| Belarus | Ivan Kovalyov | 2016 | Murder | Single shot | Minsk |
| Poland | Andrzej Czabański | 1988 | Murder | Hanging | Kraków |
| Turkey (European part) | Erdal Eren | 1980 | Murder | Hanging | Ankara |
| Russia (European part) | Andrei Chikatilo | 1994 | Serial murder | Shooting | Novocherkassk |
