# U.S. National Pay Snapshot by Social Work Role (Typical Annual Earnings)

| Social Work Job Title | Typical National Pay Range (USD/yr) | National Median (USD/yr) | Notes |
| --- | ---: | ---: | --- |
| Licensed Clinical Social Worker (LCSW) | $55,000–$92,000 | $72,000 | Often requires clinical licensure and supervised hours |
| Medical Social Worker | $52,000–$82,000 | $66,000 | Hospitals, outpatient clinics, long-term care |
| School Social Worker | $48,000–$78,000 | $61,000 | K–12 systems; pay can follow educator pay scales |
| Child & Family Social Worker | $42,000–$70,000 | $55,000 | Community agencies; caseload-driven roles |
| Mental Health / Behavioral Health Social Worker | $50,000–$85,000 | $65,000 | Therapy-adjacent roles; may require clinical credentials |
| Substance Use Disorder Counselor / Social Worker | $45,000–$76,000 | $58,000 | Treatment programs; may overlap with counselor tracks |
| Hospice / Palliative Care Social Worker | $54,000–$86,000 | $68,000 | Interdisciplinary teams; travel may be common |
| Case Manager (Social Services) | $40,000–$68,000 | $54,000 | Broad title; range varies by setting and complexity |
| Community Outreach / Program Coordinator (Social Services) | $43,000–$72,000 | $56,000 | Nonprofit/program operations and client navigation |
| Social Work Supervisor / Program Manager | $62,000–$102,000 | $80,000 | People leadership; typically requires experience and licensure |
| Social Services Director (Agency/Facility) | $75,000–$125,000 | $95,000 | Senior leadership; often facility or multi-site responsibility |
