# Glucocorticoids — Compounds, Trade Names, and Administration Forms

| Drug class | Compound (generic) | Example trade name(s) | Administration form | Notes |
|---|---|---|---|---|
| Glucocorticoids | hydrocortisone | Cortef, Solu-Cortef | oral / IV | short-acting |
| Glucocorticoids | prednisone | Deltasone | oral | prodrug-related effects |
| Glucocorticoids | prednisolone | Orapred | oral | active metabolite |
| Glucocorticoids | methylprednisolone | Medrol, Solu-Medrol | oral / IV | intermediate-acting |
| Glucocorticoids | dexamethasone | Decadron | oral / IV | long-acting |
| Glucocorticoids | betamethasone | Celestone | IM / topical | long-acting |
| Glucocorticoids | triamcinolone | Kenalog | IM / topical / inhaled | intermediate-acting |
| Glucocorticoids | budesonide | Pulmicort, Entocort | inhaled / oral | high first-pass metabolism |
| Glucocorticoids | fluticasone | Flovent, Flonase | inhaled / intranasal | local effect |
| Glucocorticoids | mometasone | Asmanex, Nasonex | inhaled / intranasal | local effect |
