# Damien (TV Series 2016– ) — Full Cast & Crew (Expanded Cast with Episode Counts)

| Billing / Type | Person | Character(s) | Episodes (Years) |
|---|---|---|---|
| Main cast | Bradley James | Damien Thorn | 10 episodes (2016) |
| Main cast | Omid Abtahi | Amani Golkar | 10 episodes (2016) |
| Main cast | Barbara Hershey | Ann Rutledge | 10 episodes (2016) |
| Main cast | David Meunier | James Shay | 9 episodes (2016) |
| Supporting | Megalyn Echikunwoke | Simone Baptiste | 8 episodes (2016) |
| Supporting | Taylor Louderman | Jillian Davis | 7 episodes (2016) |
| Supporting | Melanie Scrofano | Veronica Selvaggio | 6 episodes (2016) |
| Recurring | Enrique Murciano | Father Gabriel | 5 episodes (2016) |
| Guest | David Ury | Archer | 2 episodes (2016) |
