# Music in Buffy the Vampire Slayer and Angel
> Dingoes Ate My Baby

| Episode | Location | Songs |
| --- | --- | --- |
| Inca Mummy Girl | The Bronze | "Fate" & "Shadows" |
| " Bewitched, Bothered and Bewildered " | The Bronze | "Pain" |
| " Dead Man's Party " | Buffy's House | "Never mind," "Pain" & "Sway" |
| " Homecoming " | The Bronze | "She knows" |
| " Band Candy " | The Bronze | "Violent" |
| " Revelations " | The Bronze | "Run" |
| " Living Conditions " | Buffy's dorm room | "Pain" (on stereo) |
| " The Harsh Light of Day " | The Bronze | "Dilate" |
| " The Initiative " | The Bronze | "Fate" (on stereo) |
