# Safe Holding Times for Cooked Protein-Based Leftovers (Fridge vs Freezer)

| Cooked food item (leftover) | Refrigerator (days) | Freezer (best quality time) |
| --- | --- | --- |
| Cooked chicken breast (plain, roasted or grilled) | 3–4 days | 2–6 months |
| Cooked turkey slices (leftover roast turkey) | 3–4 days | 2–6 months |
| Cooked ground beef (crumbled for tacos/sauce) | 3–4 days | 3–4 months |
| Cooked meatballs (beef/pork mix) | 3–4 days | 2–3 months |
| Cooked pulled pork | 3–4 days | 2–3 months |
| Cooked ham (sliced, baked) | 3–4 days | 1–2 months |
| Cooked salmon fillet | 3–4 days | 2–3 months |
| Cooked shrimp (peeled, cooked) | 3–4 days | 1–2 months |
| Cooked tofu (stir-fried or baked) | 3–4 days | 2–3 months |
| Cooked lentils (plain, fully cooked) | 3–5 days | 2–3 months |
| Cooked beans (black beans/chickpeas, cooked) | 3–5 days | 2–3 months |
| Cooked scrambled eggs (leftover) | 3–4 days | 1–2 months |
