# Selected Pay-TV Providers in Canada (Cable, Satellite, and IPTV) — Provider List

| Provider | Pay-TV Delivery Type | Main Coverage | Provinces/Territories Served (Approx.) | Notable Brands/Notes |
| --- | --- | --- | --- | --- |
| Rogers Communications | Cable / IPTV | Regional (Ontario, Atlantic via legacy systems) | 2–4 provinces | Rogers Cable; strong in Greater Toronto Area |
| Bell (Bell Fibe TV / Bell Satellite TV) | IPTV / Satellite | National (satellite), regional (IPTV) | 10 provinces (satellite); fewer for IPTV | Bell Fibe TV is fiber/IPTV where available |
| Shaw (part of Rogers) | Cable | Regional (Western Canada) | 4 provinces | Shaw branded cable historically in BC/AB/SK/MB |
| TELUS (Optik TV) | IPTV | Regional (Western Canada) | 2 provinces | Optik TV mainly in Alberta and British Columbia |
| Videotron | Cable / IPTV | Regional (Quebec) | 1 province | Quebec-focused provider; French-language market strength |
| SaskTel (maxTV) | IPTV | Regional (Saskatchewan) | 1 province | Crown corporation; IPTV-focused |
| Eastlink | Cable | Regional (Atlantic Canada) | 4 provinces | Atlantic-focused cable operator |
| Cogeco | Cable | Regional (Ontario/Quebec) | 2 provinces | Mid-sized cable provider in ON/QC |
| Northwestel | Satellite/TV services (limited) | Regional (Northern Canada) | 3 territories + parts of provinces | Service availability varies widely by community |
| VMedia | IPTV (OTT) | Multi-province (internet-delivered) | Multiple provinces | Third-party IPTV provider; availability tied to broadband access |
