# Central AC Cost Comparison by Brand and Tier (Equipment-Only vs Installed, Condenser + Coil)

| Brand | Tier | Example Condenser Line | Example Coil Line | Typical Size (Tons) | Typical SEER2 Range | Equipment Only (USD) | Installed Price (USD) |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Carrier | Value | Comfort Series | Cased Coil | 2.5–3.0 | 13.4–14.5 | $1,650 | $3,650 |
| Carrier | Premium | Infinity Series | Communicating Coil | 3.0–4.0 | 16.0–18.0 | $2,950 | $5,950 |
| Lennox | Value | Merit Series | CX/CH Coil | 2.5–3.0 | 13.4–14.3 | $1,780 | $3,980 |
| Lennox | Premium | Elite/Dave Lennox Signature | High-Efficiency Coil | 3.0–4.0 | 16.0–20.0 | $3,250 | $6,650 |
| Trane | Value | XR14 | 4TXCB Coil | 2.5–3.0 | 14.3–14.8 | $1,950 | $4,250 |
| Trane | Premium | XV18 | High-Performance Coil | 3.0–4.0 | 17.0–19.0 | $3,450 | $7,150 |
| Rheem | Value | Classic Series | RCF Coil | 2.5–3.0 | 13.4–14.3 | $1,420 | $3,320 |
| Rheem | Premium | Prestige Series | Premium Coil | 3.0–4.0 | 16.0–18.0 | $2,780 | $5,780 |
| Goodman | Value | GSXN/GSXH Class | CAPF Coil | 2.5–3.0 | 13.4–14.3 | $1,180 | $2,980 |
| Amana | Premium | ASXC/ASXH High-Eff | CAPF Coil | 3.0–4.0 | 16.0–18.0 | $2,350 | $5,150 |
