# MLB Pitchers with Multiple One-Hitters (Post-1920) — Career Totals

| Rank | Pitcher | Career One-Hitters | One-Hitters (as Starter) | One-Hitters (as Reliever) | Notes |
|---:|---|---:|---:|---:|---|
| 1 | Nolan Ryan | 13 | 13 | 0 | Threw the most one-hitters in MLB history |
| 2 | Sandy Koufax | 6 | 6 | 0 | All were complete-game one-hitters |
| 3 | Bob Feller | 6 | 6 | 0 | Multiple one-hitters across the 1940s |
| 4 | Warren Spahn | 5 | 5 | 0 | Left-handed ace with repeated one-hit outings |
| 5 | Max Scherzer | 3 | 3 | 0 | Known for repeated near-no-hit performances |
| 6 | Justin Verlander | 3 | 3 | 0 | Recorded multiple one-hit games over his career |
| 7 | Jacob deGrom | 2 | 2 | 0 | At least two one-hitters as a starter |
| 8 | Cliff Lee | 2 | 2 | 0 | Multiple one-hit complete games |
| 9 | David Cone | 2 | 2 | 0 | Had more than one one-hit performance |
| 10 | Cole Hamels | 2 | 2 | 0 | Multiple one-hitters in different seasons |
