# National Salary by Employer for Common Social Work Roles (US)

| Employer | Job Title | Pay Type | Typical Pay | Notes |
| --- | --- | --- | --- | --- |
| Kaiser Permanente | Medical Social Worker | Annual | $78,400 | Large hospital system |
| Veterans Health Administration (VA) | Clinical Social Worker | Annual | $74,900 | Federal benefits included |
| Mayo Clinic | Licensed Clinical Social Worker (LCSW) | Annual | $82,300 | Specialty clinics |
| CVS Health (Aetna) | Behavioral Health Case Manager (MSW) | Annual | $76,100 | Managed care |
| UnitedHealth Group | Care Advocate (Social Worker) | Annual | $73,500 | Utilization management |
| Salvation Army | Case Manager (Social Services) | Annual | $41,200 | Nonprofit setting |
| Catholic Charities | Family Services Social Worker | Annual | $48,600 | Community programs |
| Providence | Hospice Social Worker | Annual | $69,300 | Home health/hospice |
| NYC Health + Hospitals | Psychiatric Social Worker | Annual | $71,800 | Public hospital network |
| Head Start (Local Grantee) | School Social Worker | Annual | $55,900 | Education-adjacent role |
