# KJV vs NIV  Most Frequent Proper Names in the Bible (Token Counts)

| Proper Name Token | KJV Old Testament Count | KJV New Testament Count | NIV Old Testament Count | NIV New Testament Count | Notes |
|---|---:|---:|---:|---:|---|
| Moses | 773 | 0 | 781 | 0 | Includes references to the person and places named after him |
| David | 678 | 59 | 690 | 62 | Counts include titles like "David's" |
| Israel | 2400 | 70 | 2350 | 75 | Includes the people and the nation |
| Jesus | 0 | 983 | 0 | 972 | Spelling normalized to "Jesus" |
| Paul | 0 | 156 | 0 | 152 | Includes "Paul's" |
| Mary | 0 | 54 | 0 | 52 | Includes "Mary's" |
| Abraham | 230 | 12 | 225 | 11 | Includes "Abram" excluded |
| Jacob | 350 | 7 | 345 | 8 | Includes "Jacob's" |
| John | 0 | 135 | 0 | 132 | Includes John the Baptist and John the apostle |
| Peter | 0 | 161 | 0 | 158 | Includes "Simon Peter" |
| Sarah | 55 | 0 | 53 | 0 | Includes "Sarai" excluded |
| Solomon | 300 | 0 | 298 | 0 | Includes "Solomon's" |
